,hs_name,hs_ceeb,ccd_name,ccd_nces,score
100,bonney lake high school,480111,Bonney Lake High School,530861002998,100.0
101,francis w parker school,052843,,,
102,early college hs at arvada,060062,EARLY COLLEGE OF ARVADA,080002006390,86.0
103,briar woods high school,470061,BRIAR WOODS HIGH,510225002451,82.0
104,dorius academy,450189,,,
105,liberty christian school,481001,,,
106,anahuacalmecac int' univ hs,054332,,,
107,green valley ranch high school,060506,DSST: GREEN VALLEY RANCH HIGH SCHOOL,080336006450,91.0
108,mountain view high school,472147,MOUNTAIN VIEW HIGH,510366002464,84.0
109,robert l stevenson school,052435,,,
110,vista peaks preparatory,060001,VISTA PEAK 9-12 PREPARATORY,080234006451,88.0
111,lotus school for excellence,060089,LOTUS SCHOOL FOR EXCELLENCE,080234001916,100.0
112,southwest early college,060486,,,
113,denver center intl studies,060471,DENVER CENTER FOR INTERNATIONAL STUDIES,080336001917,80.0
114,union high school,480139,Union High School,530270003222,100.0
115,pleasant grove high school,053953,Pleasant Grove High,061233011067,84.0
116,laguna blanca school,053255,,,
117,georgetown day high school,090081,,,
118,lutheran high school,143709,,,
119,newark academy,310915,,,
120,xavier charter school,130639,XAVIER CHARTER SCHOOL,160014000949,100.0
121,global leadership academy,060489,GLOBAL LEADERSHIP ACADEMY,080555001860,100.0
122,discovery canyon campus sch,060244,DISCOVERY CANYON CAMPUS HIGH SCHOOL,080192001905,87.0
123,buffalo acad of sacred heart,331770,,,
124,great oak high school,053880,Great Oak High,060002811038,80.0
125,brookfield academy,500283,Brookfield Elementary,550177000216,72.0
126,benet academy,142635,,,
127,cushing academy,220050,,,
128,freedom preparatory academy,450339,Freedom Preparatory Academy,490006200992,100.0
129,del norte high school,054351,Del Norte High,063153012216,80.0
130,strive prep schls excel,060554,STRIVE PREP - EXCEL,080336006576,86.0
131,stem school,060741,,,
132,notre dame academy,051730,,,
133,fieldston school,333628,,,
134,escuela internacional sampdrna,862150,,,
135,school of science & technology,053903,San Diego Science and Technology,063432011153,74.0
136,bishop moore catholic hs,101285,,,
137,greens farms academy,070915,,,
138,lowell catholic high school,221235,,,
139,dougherty valley high school,053218,Dougherty Valley High,063513011990,86.0
140,cats academy boston,221541,,,
141,park school of baltimore,210812,,,
142,george westinghouse college pr,141001,,,
143,prospect ridge academy hs,060169,PROSPECT RIDGE ACADEMY,080690006507,94.0
144,american nicaraguan school,878160,,,
145,butler college prep,140637,,,
146,johns creek high school,111866,Johns Creek High School,130228003935,100.0
147,itw david speer academy,140991,,,
148,mission vista high school,054347,Mission Vista High,064119012341,84.0
149,marquette high school,143335,,,
150,bishop lynch high school,441718,,,
151,crossroads school,053307,,,
152,belleview christian school,060385,,,
153,oliverian school the,300251,,,
154,lakeville south high school,241326,LAKEVILLE SOUTH HIGH,271778003515,85.0
155,saint michaels high school,320620,,,
156,saint marys academy hs,060535,,,
157,bellarmine college preparatory,053080,,,
158,great river school,242300,GREAT RIVER SCHOOL,270034404093,100.0
159,sierra canyon high school,054038,,,
160,vanguard school,060249,THE VANGUARD SCHOOL (HIGH),080294006370,73.0
161,tatnall school,080200,,,
162,palisades high school,,,,
163,woodward academy,110797,,,
164,sonoran science academy,030563,Sonoran Science Academy - Tucson,040022302199,84.0
165,desert academy,320597,,,
166,colorado connections academy,060541,COLORADO CONNECTIONS ACADEMY,080555006488,100.0
167,cathedral high school,242180,,,
168,west chester bayard rustin hs,395167,West Chester Bayard Rustin HS,422529000969,100.0
169,dsst stapleton hs,060604,DSST: STAPLETON HIGH SCHOOL,080336001833,77.0
170,skyview academy,061357,,,
171,khabele school,440354,,,
172,port of los angeles high sch,054055,Port of Los Angeles High,060185010864,92.0
173,colorado virtual acad (cova),061071,,,
174,raisbeck aviation high school,481071,Raisbeck Aviation High School,530354002974,100.0
175,ursuline academy,361125,,,
176,saint andrews on the marsh,112681,,,
177,pembroke hill school,261715,,,
178,saint augustine preparatory sc,311302,,,
179,ross school,331703,SPRINGS SCHOOL,362790003787,72.0
180,francis w parker school,140830,,,
181,academy for med science tech,310452,,,
182,albert einstein academy of let,054493,,,
183,cardinal spellman high school,220437,,,
184,chase collegiate school,070850,,,
185,irvington prep academy,151729,,,
186,justin siena high school,052082,,,
187,columbus academy,361525,,,
188,martin l king jr early college,060484,DR. MARTIN LUTHER KING JR. EARLY COLLEGE,080336001406,86.0
189,episcopal high school,440561,,,
190,bellingham high school,480094,Bellingham High School,530042000099,100.0
191,timberland high school,263591,TIMBERLAND HIGH,293165002844,81.0
192,ensworth high school,431662,,,
193,thomas jefferson senior high s,191122,,,
194,clarksville academy,430353,,,
195,the greene school,400254,The Greene School,440001700477,100.0
196,notre dame high school,525200,SOUTHERN HIGH SCHOOL,660000200079,71.0
197,alc gateway to college,242294,ALC GATEWAY TO COLLEGE,273384004792,100.0
198,antilles school,550280,,,
199,tarbut v torah comm day school,051269,,,
200,gulliver prep sch-pinecrest,101012,,,
201,whitney high school,053937,Whitney High,060001311010,77.0
202,fusion academy loudoun,,,,
203,columbia grammar & prep school,333570,,,
204,dolores huerta preparatory hs,061192,,,
205,colorado early coll - ft coll,060612,COLORADO EARLY COLLEGE FORT COLLINS,080002006542,84.0
206,donna klein jewish academy hs,100178,,,
207,adelson upper school,290229,,,
208,har-ber high school,042147,HAR-BER HIGH SCHOOL,051266001118,100.0
209,le lycee francais,050321,,,
210,brethren christian high school,052363,,,
211,alamo heights high school,440057,ALAMO HEIGHTS H S,480759000045,81.0
212,boca raton preparatory school,100164,,,
213,olympian high school,054072,,,
214,saint gregory coll prep sch,030506,,,
215,bishop england high school,410370,,,
216,richmondtown preparatory sch,335370,,,
217,saint johns college high sch,090185,,,
218,bishop machebeuf high school,060419,,,
219,liberty high school,445579,LIBERTY H S,482001011166,73.0
220,early college high school,440224,EARLY COLLEGE H S,481305011190,81.0
221,academy of the sacred heart,191070,,,
222,landon school,210260,,,
223,academy high school,,ACADEMY HIGH SCHOOL,080555001872,100.0
224,bedford high school,300044,Bedford High School,330174000680,100.0
225,wentworth military academy,261955,,,
226,bloomfield hills high school,232447,,,
227,basis chandler,030072,Champion Chandler,040019103434,71.0
228,cornerstone christian academy,061074,,,
229,mesa valley vision home cmnty,060684,,,
230,whitfield school,260783,,,
231,skyline high school,230089,Skyline High School,260282007761,100.0
232,john s burke catholic hs,332140,,,
233,cathedral high school,051560,,,
234,salisbury school,070655,,,
235,simon a sanchez high school,525196,SIMON SANCHEZ HIGH SCHOOL,660000200078,96.0
236,french international school,210264,,,
237,blue valley southwest hs,172302,Blue Valley Southwest High School,201200001990,84.0
238,manvel high school,444463,MANVEL H S,480809010456,71.0
239,capital area school,391652,,,
240,saint pauls school,190590,,,
241,keystone national high school,390363,,,
242,john carroll catholic hs,010370,,,
243,halstrom academy - brentwood,054752,,,
244,downingtown stem academy,391036,Downingtown STEM Academy,420771007401,100.0
245,albuquerque inst math science,320109,ALBUQUERQUE INSTITUTE OF MATH & SCIENCE,350013000921,85.0
246,concurrent high school diploma,,,,
247,lehman high school,443923,LEHMAN H S,480001009624,71.0
248,saints vincent & mary hs,360090,,,
249,liberal arts and science acad,440069,,,
250,assumption high school,161089,West High School,190858000487,74.0
251,american heritage sch plantatn,101422,,,
252,convent of sacred heart,070220,,,
253,valencia high school,320412,VALENCIA MIDDLE SCHOOL,350168000614,81.0
254,don bosco technical institute,053053,,,
255,school of dreams academy,320416,SCHOOL OF DREAMS ACADEMY,350011201051,100.0
256,woodlands academy,142510,,,
257,communication arts high school,446139,,,
258,mapleton early college,060472,MAPLETON EARLY COLLEGE HIGH SCHOOL,080555001858,79.0
259,founders classical leander,444099,FOUNDERS CLASSICAL ACADEMY OF LEANDER,480016313068,83.0
260,h b woodlawn,470127,,,
261,sage creek high school,054709,Sage Creek High,060750013058,81.0
262,monsignor farrell high school,335352,,,
263,episcopal school of acadiana,191419,,,
264,pace academy,110217,,,
265,archbishop spalding high sch,210583,,,
266,joseph a gregori high school,052031,Joseph A. Gregori High,062515012556,84.0
267,seattle waldorf high school,481088,,,
268,nikola tesla stem high school,480976,Tesla STEM High School,530423003432,86.0
269,iuniversity prep,442958,IUNIVERSITY PREP,482166013033,100.0
270,acad aerospace & engineering,070471,Academy of Aerospace and Engineering,090070001513,84.0
271,de toledo high school,053748,,,
272,deerfield-windsor school,110043,,,
273,venture prep,060494,,,
274,saint marys high school,060295,,,
275,desert christian high school,051389,,,
276,bishop montgomery high school,053512,,,
277,saint andrews school,100132,,,
278,forest hills eastern hs,230000,,,
279,duchesne academy sacred heart,443363,,,
280,classical academy east,060241,THE CLASSICAL ACADEMY CHARTER,080192001592,78.0
281,east ridge high school,242738,EAST RIDGE HIGH SCHOOL,273381004246,100.0
282,saint monica catholic high sch,053310,,,
283,christopher columbus hs,101048,,,
284,saint scholastica academy,190595,,,
285,kennedy catholic high school,394502,,,
286,miyamura high school,320298,MIYAMURA HIGH SCHOOL,350111000768,100.0
287,colorado early colleges dougla,061157,COLORADO EARLY COLLEGES - PARKER,080002006634,81.0
288,charter hs arts media perform,054046,,,
289,coyle-cassidy memorial high sc,222120,,,
290,legacy high school,290223,Legacy High School,320006000714,100.0
291,american community school,685100,,,
292,riverside military academy,111405,,,
293,vail ski & snowboard academy,061011,VAIL SKI AND SNOWBOARD ACADEMY (VSSA),080354006422,83.0
294,glacier high school,270523,Glacier High School,301542000358,100.0
295,elisabeth irwin high school,333610,,,
296,jeffcos 21st cent virtual acad,060719,JEFFCO VIRTUAL ACADEMY,080480006439,73.0
297,victory christian school,050481,,,
298,terra environmental research,102213,TERRA ENVIRONMENTAL RESEARCH INSTITUTE,120039007634,85.0
299,high tech high north county,054219,High Tech High North County,060181812064,100.0
300,prout school,400228,,,
301,west career and tech acad,290244,West Career & Technical Academy,320006000812,79.0
302,wiesbaden high school dod,576360,,,
303,woodgrove high school,471804,WOODGROVE HIGH,510225002812,80.0
304,oak knoll school,311430,,,
305,basis tucson north,030743,BASIS Tucson North,040087803350,100.0
306,metro east web academy,380437,Metro East Web Academy,410600001787,100.0
307,columbia secondary school,333907,COLUMBIA SECONDARY SCHOOL,360008105944,100.0
308,flint hill school,471648,,,
309,gunnery the,070825,,,
310,mourning sr-high biscayne bay,102221,,,
311,christ church episcopal school,410892,,,
312,wildland charter school,995519,Wildlands Charter School,550063002586,98.0
313,john champe high school,470021,JOHN CHAMPE HS,510225002865,76.0
314,mater lakes academy,102126,MATER GARDENS ACADEMY,120039006019,85.0
315,oakdale high school,210664,Oakdale High,240033001688,77.0
316,millennium brooklyn high sch,331079,MILLENNIUM BROOKLYN HIGH SCHOOL,360009206292,95.0
317,vistamar school,053973,,,
318,boys latin school of maryland,210040,,,
319,creekview high school,110591,Creekview High School,130111003308,100.0
320,wyoming seminary,392040,,,
321,wilbraham and monson academy,222400,,,
322,saint bernard high school,050898,,,
323,kettle run high school,471561,KETTLE RUN HIGH SCH,510132002785,93.0
324,chrysalis school,481593,,,
325,homeschool,,,,
326,gilbert classical academy,030132,Gilbert Classical Academy Jr.,040340002777,93.0
327,saint francis preparatory hs,144383,,,
328,pusch ridge christian academy,030492,,,
329,west river academy,,,,
330,peak preparatory,441850,UPLIFT PEAK PREPARATORY PRI,480003011186,74.0
331,ben lippen school,410501,,,
332,ridge point high school,444836,RIDGE POINT H S,481965012240,79.0
333,vincentian academy,393940,,,
334,byron nelson high school,444916,BYRON NELSON H S,483318012019,80.0
335,philadelphia montgomery chrn,395398,,,
336,trinity catholic high school,101616,,,
337,oakridge school,442551,,,
338,harrison preparatory school,480589,,,
339,strive prep smart academy,060509,STRIVE PREP - SMART ACADEMY,080336006543,96.0
340,crean lutheran high school,051298,,,
341,summerfield waldorf school,053349,,,
342,hyde school woodstock,070972,,,
343,liberty common high school,060607,LIBERTY COMMON CHARTER SCHOOL,080399001608,84.0
344,rowland hall-saint marks sch,450385,,,
345,totino-grace high school,240888,,,
346,halstrom high school-san diego,052828,,,
347,out of door academy high sch,101579,,,
348,desert mirage high school,054013,Desert Mirage High,060907011175,84.0
349,mission oak high school,054248,Mission Oak High,063993012084,82.0
350,rachel carson hs for coastal,330974,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,360015205826,77.0
351,manchester valley high school,210761,,,
352,nevada connections academy,290240,Nevada Connections Academy,320000100731,100.0
353,loomis chaffee school,070945,,,
354,everest public high school,054429,Everest Public High,060222912395,84.0
355,intech collegiate high school,450288,Intech Collegiate High School,490003901129,100.0
356,uic college prep,140658,,,
357,kaiserslautern american hs dod,576220,,,
358,mission collegiate high school,444839,,,
359,battle ground academy,430700,,,
360,skyview academy high school,060739,,,
361,vandegrift high school,440363,VANDEGRIFT H S,482703012156,78.0
362,florida southwest coll hs,102092,FLORIDA SOUTHWESTERN COLLEGIATE HIGH SCHOOL,120024007659,74.0
363,engineering & science univ mag,070282,,,
364,oxford high school,070929,Oxford High School,090324001504,100.0
365,field school,090073,,,
366,cambridge high school,112129,Cambridge High School,130228004099,100.0
367,east catholic high school,070373,,,
368,utah county academy sciences,450286,Utah County Academy of Science,490002001106,93.0
369,clarkson school,334608,,,
370,school of the holy child,334972,,,
371,valley catholic high school,380080,,,
372,newman preparatory school,220330,,,
373,clear springs high school,444082,CLEAR SPRINGS H S,481428011984,81.0
374,tasis school in dorado,541781,,,
375,salt lake center science educ,450384,Salt Lake Center for Science Education,490012301208,87.0
376,cathedral high school,333520,,,
377,academia del perpetuo socorro,543440,,,
378,south lyon east high school,233472,South Lyon East High School,263225001837,100.0
379,kingston high school,480554,Kingston High School,530576003201,100.0
380,logan river academy,450171,,,
381,garfield high school,,Garfield High School,530771001171,100.0
382,york international,061361,YORK INTERNATIONAL,080555002017,100.0
383,magnolia west high school,444424,,,
384,summit preparatory high school,053878,Summit Preparatory Charter High,060228711981,75.0
385,mesa-mapleton exped sch arts,061358,,,
386,mckinney boyd high school,444633,,,
387,ann sobrato high school,053906,Ann Sobrato High,062583011453,82.0
388,archmere academy,080010,,,
389,academy science & technology,442258,,,
390,knoxville catholic high school,431095,,,
391,boulder universal,060137,BOULDER UNIVERSAL,080249006463,100.0
392,glacier peak high school,481211,Glacier Peak High School,530802003217,100.0
393,westtown school,395230,,,
394,diamond ranch academy,450132,,,
395,central catholic high school,380850,,,
396,detroit catholic central hs,230860,,,
397,scranton preparatory school,394440,,,
398,greenhills school,230087,,,
399,king (klht),070720,,,
400,saint louis school,120110,,,
401,george ranch high school,445862,GEORGE RANCH H S,482658011891,80.0
402,tomball memorial high school,447044,TOMBALL MEMORIAL H S,484296012380,83.0
403,metea valley high school,140187,Metea Valley High School,174169006090,100.0
404,taos academy,320674,TAOS ACADEMY,350011801055,100.0
405,stansbury academy,450178,,,
406,native american com. acad.,320116,,,
407,linden hall school for girls,392295,,,
408,bakersfield christian high sch,050208,,,
409,chandler preparatory academy,030649,Chandler Online Academy,040187003306,71.0
410,foxcroft school,471425,,,
411,charles wright academy,481368,,,
412,pennsylvania cyber charter sch,392609,,,
413,thomas alva edison school,541001,,,
414,harmony science academy,440904,HARMONY SCIENCE ACADEMY - BROWNSVILLE,480026612119,77.0
415,eastside catholic high school,480067,,,
416,sierra charter school,053688,Sierra Charter,060160911846,80.0
417,school of arts and enterprise,053993,School of Arts and Enterprise,060218011207,100.0
418,lusher charter school,192041,Lusher Charter School,220029700926,100.0
419,castilleja school,052330,,,
420,circle christian school,101306,,,
421,burleson centennial high sch,441021,BURLESON CENTENNIAL H S,481218012263,90.0
422,kipp austin collegiate school,440364,KIPP AUSTIN COLLEGIATE,480026411782,86.0
423,new mexico military inst hs,320545,,,
424,westminster school,070680,,,
425,plainfield north high school,143497,Plainfield North High School,173174005747,100.0
426,thunder basin high school,510079,,,
427,santa fe preparatory school,320626,,,
428,mu high school - univ of mo,260734,,,
429,berkeley preparatory school,101686,,,
430,mariotts ridge high school,210745,Marriotts Ridge High,240042001437,83.0
431,northland christian school,443414,,,
432,cosumnes oaks high school,054204,Cosumnes Oaks High,061233012274,84.0
433,masters program,320622,THE MASTERS PROGRAM,350012501069,88.0
434,prairie school,501918,,,
435,antonian college prep school,446122,,,
436,tara institute performing arts,060131,,,
437,louisiana coll acad accel stdy,995523,,,
438,anglo american school moscow,788590,,,
439,liberty high school,102104,LIBERTY HIGH SCHOOL,120147007417,100.0
440,new mexico school for the arts,320641,NM SCHOOL FOR THE ARTS,350011901058,85.0
441,archbishop carroll high school,394131,,,
442,elkhorn south high school,281708,ELKHORN SOUTH HIGH SCHOOL,317011002240,100.0
443,bishop stang high school,221643,,,
444,pope john xx111 high school,443742,,,
445,academy of holy angels,241585,,,
446,saint john's jesuit hs,365054,,,
447,trevor day school,334114,,,
448,rancho dominguez prep school,054525,Rancho Dominguez Preparatory,062271012898,79.0
449,westminster christian school,101105,,,
450,univ texas austin hs program,440344,,,
451,dsst green valley ranch hs,060506,DSST: GREEN VALLEY RANCH HIGH SCHOOL,080336006450,84.0
452,pinewood school,051512,,,
453,palmas academy,542588,,,
454,med acad science & techno,102335,,,
455,colegio la piedad,546045,,,
456,idea quest college prep,442144,,,
457,suffield academy,070765,,,
458,academy high school,061357,ACADEMY HIGH SCHOOL,080555001872,100.0
459,clark advanced learning center,101965,CLARK ADVANCED LEARNING CENTER,120129004044,100.0
460,orcutt academy high school,054287,Orcutt Academy Charter,062871012315,71.0
461,aquinas academy,395261,,,
462,robbinsville high school,311326,Robbinsville High School,341710000549,100.0
463,johnson high school,446093,JOHNSON H S,483294011973,73.0
464,chattanooga st middle coll hs,430304,,,
465,new horizons bilingual school,842248,,,
466,riviera preparatory school,102386,,,
467,newton country day school,221530,,,
468,saint louis priory school,260782,,,
469,christian fellowship school,180198,,,
470,winter sports sch in park city,450291,,,
471,cypress woods high school,443302,CYPRESS WOODS H S,481611011252,81.0
472,simla high school,061290,SIMLA HIGH SCHOOL,080660001139,100.0
473,new roads school,053287,,,
474,connections,020360,Connections,020039000397,100.0
475,lausanne collegiate school,431435,,,
476,el camino high school,053648,,,
477,heelan high school,164050,,,
478,saint timothys school,210990,,,
479,ann richards sch young women,440382,RICHARDS SCH FOR YOUNG WOMEN LEADERS,480894011354,75.0
480,tanque verde high school,030600,Tanque Verde High School,040828002550,100.0
481,governors school,471851,,,
482,saint croix christian academy,241494,,,
483,marine science magnet high sch,070252,,,
484,mccallie school,430315,,,
485,makua lani christian school,120064,,,
486,new mexico connections acad,320608,NEW MEXICO CONNECTIONS ACADEMY,350016001096,95.0
487,patterson mill high school,210239,Patterson Mill High School,240039001638,100.0
488,colorado christian school,060463,,,
489,jakarta international school,672090,,,
490,moses brown school,400180,,,
491,wildwood secondary school,051852,,,
492,bay ridge preparatory school,330348,,,
493,obra d tompkins high school,443726,,,
494,urban assemby ny harbor sch,330636,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,360007705560,84.0
495,holy trinity high school,140875,,,
496,archer high school,111802,Archer High School,130255003838,100.0
497,archbshp edward a mccarthy hs,100577,,,
498,g-star school of the arts,101982,G-STAR SCHOOL OF THE ARTS,120150004131,100.0
499,eagle ridge academy,060168,EAGLE RIDGE ACADEMY,080258006474,100.0
500,seven lakes high school,443727,SEVEN LAKES H S,482517010760,79.0
501,saint georges school,400085,,,
502,bronx collaborative high sch,331147,BRONX COLLABORATIVE HIGH SCHOOL,360008706397,95.0
503,discovery school,862298,,,
504,ilead innovation studios,054846,,,
505,john jay high school,,JOHN JAY HIGH SCHOOL,361608001390,100.0
506,bruce randolph school,060374,BRUCE RANDOLPH SCHOOL,080336001869,100.0
507,tmi-episcopal school of tx,446255,,,
508,denver waldorf high school,060403,,,
509,academy of holy names upper sc,330025,,,
510,boerne-samuel v champion hs,440732,BOERNE - SAMUEL V CHAMPION H S,481071012014,95.0
511,northwest academy,,,,
512,saint patrick high school,141230,,,
513,creekside high school,102308,CREEKSIDE HIGH SCHOOL,120174007388,100.0
514,antelope high school,,Antelope High,063363012310,79.0
515,antelope high school,054250,Antelope High,063363012310,79.0
516,covenant day school,342532,,,
517,ellis school,393695,,,
518,rouse high school,444097,,,
519,saginaw high school,446087,SAGINAW H S,481770011031,73.0
520,lake nona high school,102199,LAKE NONA HIGH,120144007646,80.0
521,new community jewish hs,053748,,,
522,los angeles lutheran jr-sr hs,051690,,,
523,alliance environment sci tech,054360,,,
524,hackley school,335540,,,
525,pioneer academy of science,310249,,,
526,lakenheath high school dod,575020,,,
527,da vinci science high school,054378,,,
528,cleveland school of sci and me,365229,Cleveland School of Science & Medicine,390437805561,79.0
529,golden valley high school,053871,Golden Valley High,064251010912,84.0
530,academia interamericana panama,882191,,,
531,junipero serra high school,054385,Junipero Serra High,060744000703,84.0
532,charles j colgan sr high sch,470002,CHARLES J COLGAN SR HIGH,510313003025,92.0
533,miami valley school,361833,,,
534,basis phoenix,030742,BASIS Phoenix,040084303351,100.0
535,convent of the sacred heart,333575,,,
536,robert vela high school,442143,,,
537,grauer school,050862,,,
538,independence high school,442626,INDEPENDENCE H S,482001013005,80.0
539,denver academy,060396,,,
540,northeast high school,393407,Northeast HS,421899003855,73.0
541,saint paul conservatory,242284,,,
542,new rochelle high school #3,333369,NEW ROCHELLE HIGH SCHOOL,362049001900,94.0
543,north oconee high school,110401,North Oconee High School,130396003437,100.0
544,harker school,053142,,,
545,incarnate word high school,446155,,,
546,watershed school,060136,,,
547,saint albans school for boys,090165,,,
548,aurora christian schools,140176,,,
549,advance academy of georgia the,110600,,,
550,selwyn school,441948,,,
551,veritas classical schools,110068,,,
552,marin school,052498,,,
553,thomas maclaren charter school,060251,,,
554,oakley school,450242,,,
555,patriot high school,471562,PATRIOT HIGH,510313002850,77.0
556,catlin gabel school,380845,,,
557,edgewood high school,050707,Edgewood High,064200012621,79.0
558,virginia episcopal school,471305,,,
559,west river academy,,,,
560,twin peaks charter academy hs,060968,TWIN PEAKS CHARTER ACADEMY,080537001572,95.0
561,denver center intl studies,060362,,,
562,liberty ranch high school,054438,Liberty Ranch High,061482012403,84.0
563,educational advancement acad,481081,,,
564,penn foster high school,394413,,,
565,international school of dakar,635920,,,
566,lancaster country day school,392115,,,
567,saint john's school,546160,,,
568,bishop mora salesian hs,051554,,,
569,saint thomas more catholic hs,191438,,,
570,university preparatory hs,054458,University Preparatory High,069104512387,92.0
571,herron high school,151669,Herron High School,180005802315,100.0
572,american hebrew academy,341579,,,
573,athens academy,110113,,,
574,morris county school of tech,310281,Morris County School of Technology,341072004348,90.0
575,np3 charter high school,054095,,,
576,collegiate acad tarrant col ne,443654,,,
577,foothills academy,061454,,,
578,william penn charter school,393560,,,
579,school international studies,053907,San Diego International Studies,063432011140,81.0
580,redmond proficiency academy,380973,Redmond Proficiency Academy,411035001785,100.0
581,oak park independent sch,053876,Oak Park Independent,062785011539,91.0
582,lambert high school,110927,Lambert High School,130222003954,100.0
