HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.Index,Input.HS_CITY,Input.HS_COUNTRY,Input.HS_NAME,Input.HS_POSTAL_CD,Input.HS_STATE,Input.HS_CEEB,Input.HS_NCES,Input.HS_MATCH_NAME,Input.HS_STATE_FULL,Answer.HS_NCES,Answer.HS_NO_NCES.on,Approve,Reject
302OLP89E4APCXPBNLGYVQYJ8R7CA5,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:44 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:44 PDT 2020, , ,3JC6VJ2SAGM70WEQYDYS54NUYR5A55,A6KU5WJ2CIHFN,Submitted,Thu Jun 18 11:56:14 PDT 2020,Thu Jun 18 11:58:55 PDT 2020,Sun Jun 21 11:58:55 PDT 2020, , , ,161,0% (0/0),0% (0/0),0% (0/0),992,Toms River,USA,monsignor donovan high school,08753,NJ,311463, , ,New Jersey, ,true,x, 
302OLP89E4APCXPBNLGYVQYJ8R7CA5,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:44 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:44 PDT 2020, , ,3VW04L3ZLY9SYS6TFT91HVPCSBQXX8,AZPJUBGJZ3BT4,Submitted,Thu Jun 18 12:03:52 PDT 2020,Thu Jun 18 12:04:04 PDT 2020,Sun Jun 21 12:04:04 PDT 2020, , , ,12,0% (0/0),0% (0/0),0% (0/0),992,Toms River,USA,monsignor donovan high school,08753,NJ,311463, , ,New Jersey, ,true,x, 
302OLP89E4APCXPBNLGYVQYJ8R8AC4,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:12 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:12 PDT 2020, , ,3DI28L7YXFHB2RUJDVY2YX047Q61EH,A1Q890R4148O5G,Submitted,Thu Jun 18 12:20:17 PDT 2020,Thu Jun 18 12:20:25 PDT 2020,Sun Jun 21 12:20:25 PDT 2020, , , ,8,0% (0/0),0% (0/0),0% (0/0),381,Spring,USA,providence classical school,77379,TX,446684, , ,Texas, ,true, ,x
302OLP89E4APCXPBNLGYVQYJ8R8AC4,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:12 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:12 PDT 2020, , ,3F6KKYWMNG49OSN8MNLGPMVMAF7DN5,A1HCNHXMO28NAW,Submitted,Thu Jun 18 12:13:11 PDT 2020,Thu Jun 18 12:14:17 PDT 2020,Sun Jun 21 12:14:17 PDT 2020, , , ,66,0% (0/0),0% (0/0),0% (0/0),381,Spring,USA,providence classical school,77379,TX,446684, , ,Texas, ,true,x, 
302OLP89E4APCXPBNLGYVQYJ8R8AC4,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:12 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:12 PDT 2020, , ,3GDTJDAPVZERPF6HTEV0QFSLUY38MX,A3C9NF541MQ83M,Submitted,Thu Jun 18 12:21:38 PDT 2020,Thu Jun 18 12:21:42 PDT 2020,Sun Jun 21 12:21:42 PDT 2020, , , ,4,0% (0/0),0% (0/0),0% (0/0),381,Spring,USA,providence classical school,77379,TX,446684, , ,Texas, ,true, ,x
302OLP89E4APCXPBNLGYVQYJ8R8AC4,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:12 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:12 PDT 2020, , ,3PH3VY7DJQ02EN1I6610CXRGR9NWZG,A3FA5P7O80KJAP,Submitted,Thu Jun 18 12:20:30 PDT 2020,Thu Jun 18 12:30:08 PDT 2020,Sun Jun 21 12:30:08 PDT 2020, , , ,578,0% (0/0),0% (0/0),0% (0/0),381,Spring,USA,providence classical school,77379,TX,446684, , ,Texas, ,true,x, 
302U8RURK44SVPP0N6G87O68S5MNVZ,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:39 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:39 PDT 2020, , ,3H0W84IWBP5ZVWT0BPDH4OIHBO2ERS,A1ENE99INLYD1G,Submitted,Thu Jun 18 12:26:25 PDT 2020,Thu Jun 18 12:26:46 PDT 2020,Sun Jun 21 12:26:46 PDT 2020, , , ,21,0% (0/0),0% (0/0),0% (0/0),431,Denton,USA,billy c ryan high school,76208,TX,441940, , ,Texas, ,true,x, 
302U8RURK44SVPP0N6G87O68S5MNVZ,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:39 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:39 PDT 2020, , ,3QY5DC2MXWNJH2LDAUSSRHQ1UO1UFA,A2JW9WXNM0FU00,Submitted,Thu Jun 18 11:22:56 PDT 2020,Thu Jun 18 11:23:12 PDT 2020,Sun Jun 21 11:23:12 PDT 2020, , , ,16,0% (0/0),0% (0/0),0% (0/0),431,Denton,USA,billy c ryan high school,76208,TX,441940, , ,Texas, ,true,x, 
302U8RURK44SVPP0N6G87O68S5MNVZ,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:39 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:39 PDT 2020, , ,3SBEHTYCWS6K8278L3V2XZ96645YI4,A3AJ5Z7JX7LBAW,Submitted,Thu Jun 18 11:27:16 PDT 2020,Thu Jun 18 11:31:01 PDT 2020,Sun Jun 21 11:31:01 PDT 2020, , , ,225,0% (0/0),0% (0/0),0% (0/0),431,Denton,USA,billy c ryan high school,76208,TX,441940, , ,Texas,481674006976,false,x, 
302U8RURK44SVPP0N6G87O68S5MNVZ,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:39 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:39 PDT 2020, , ,3T111IHZ5JTI002J3EXVCAH6KRG9R7,A35Y4Q1GSM12JD,Submitted,Thu Jun 18 12:09:07 PDT 2020,Thu Jun 18 12:09:25 PDT 2020,Sun Jun 21 12:09:25 PDT 2020, , , ,18,0% (0/0),0% (0/0),0% (0/0),431,Denton,USA,billy c ryan high school,76208,TX,441940, , ,Texas, ,true,x, 
302U8RURK44SVPP0N6G87O68S5MVN7,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:12 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:12 PDT 2020, , ,3B2X28YI31I82AJW9A8TSLL0C48B6O,A3C9NF541MQ83M,Submitted,Thu Jun 18 12:19:12 PDT 2020,Thu Jun 18 12:19:16 PDT 2020,Sun Jun 21 12:19:16 PDT 2020, , , ,4,0% (0/0),0% (0/0),0% (0/0),624,Cleveland,USA,mc2 stem high school,44115,OH,365243, , ,Ohio, ,true, ,x
302U8RURK44SVPP0N6G87O68S5MVN7,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:12 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:12 PDT 2020, , ,3JZQSN0I3VD0CKKIQP3BN2PALG5GFF,A1BQ71W4QHT62P,Submitted,Thu Jun 18 12:24:30 PDT 2020,Thu Jun 18 12:25:17 PDT 2020,Sun Jun 21 12:25:17 PDT 2020, , , ,47,0% (0/0),0% (0/0),0% (0/0),624,Cleveland,USA,mc2 stem high school,44115,OH,365243, , ,Ohio, ,true,x, 
302U8RURK44SVPP0N6G87O68S5MVN7,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:12 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:12 PDT 2020, , ,3PJ71Z61R95U7V325KIG6JZTGTT19A,A32NFF6EM31R8P,Submitted,Thu Jun 18 12:28:40 PDT 2020,Thu Jun 18 12:29:21 PDT 2020,Sun Jun 21 12:29:21 PDT 2020, , , ,41,0% (0/0),0% (0/0),0% (0/0),624,Cleveland,USA,mc2 stem high school,44115,OH,365243, , ,Ohio, ,true,x, 
302U8RURK44SVPP0N6G87O68S5MVN7,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:12 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:12 PDT 2020, , ,3RSDURM96FP8SX5MPK5BCKBEEBIEYV,AXQWKUJF7SQXP,Submitted,Thu Jun 18 12:29:12 PDT 2020,Thu Jun 18 12:49:00 PDT 2020,Sun Jun 21 12:49:00 PDT 2020, , , ,1188,0% (0/0),0% (0/0),0% (0/0),624,Cleveland,USA,mc2 stem high school,44115,OH,365243, , ,Ohio, ,true,x, 
304QEQWK0UNUK9OWLOSW1KGNOJEO0N,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:41 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:41 PDT 2020, , ,32EYX73OY5CGKSQM1PSM864KXCJURC,A1Q890R4148O5G,Submitted,Thu Jun 18 11:48:02 PDT 2020,Thu Jun 18 11:48:08 PDT 2020,Sun Jun 21 11:48:08 PDT 2020, , , ,6,0% (0/0),0% (0/0),0% (0/0),209,Arvada,USA,faith christian academy,80002,CO,060414, , ,Colorado, ,true, ,x
304QEQWK0UNUK9OWLOSW1KGNOJEO0N,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:41 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:41 PDT 2020, , ,3B1NLC6UG4ZC3X9C4SZGZW3ENMEGP4,A2DDPSXH2X96RF,Submitted,Thu Jun 18 11:39:09 PDT 2020,Thu Jun 18 11:43:17 PDT 2020,Sun Jun 21 11:43:17 PDT 2020, , , ,248,0% (0/0),0% (0/0),0% (0/0),209,Arvada,USA,faith christian academy,80002,CO,060414, , ,Colorado, ,true,x, 
304QEQWK0UNUK9OWLOSW1KGNOJEO0N,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:41 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:41 PDT 2020, , ,3FE7TXL1LNQ7OF2K5QTGXXZNIZQQ2H,AQA4AX0RCRPSV,Submitted,Thu Jun 18 11:22:46 PDT 2020,Thu Jun 18 11:22:52 PDT 2020,Sun Jun 21 11:22:52 PDT 2020, , , ,6,0% (0/0),0% (0/0),0% (0/0),209,Arvada,USA,faith christian academy,80002,CO,060414, , ,Colorado, ,true, ,x
304QEQWK0UNUK9OWLOSW1KGNOJEO0N,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:20:41 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:20:41 PDT 2020, , ,3IO1LGZLKE0P0CLP6YOJ1JVZ4YB86A,A1OPD4GNPUY4EO,Submitted,Thu Jun 18 11:37:44 PDT 2020,Thu Jun 18 11:38:19 PDT 2020,Sun Jun 21 11:38:19 PDT 2020, , , ,35,0% (0/0),0% (0/0),0% (0/0),209,Arvada,USA,faith christian academy,80002,CO,060414, , ,Colorado,060002911249,true,x, 
304QEQWK0UNUK9OWLOSW1KGNOJF0O0,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:17 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:17 PDT 2020, , ,324G5B4FB8BQMNURU4GWEIPDGBW07R,A3NZC0P3E4R8HP,Submitted,Thu Jun 18 12:21:07 PDT 2020,Thu Jun 18 12:21:44 PDT 2020,Sun Jun 21 12:21:44 PDT 2020, , , ,37,0% (0/0),0% (0/0),0% (0/0),576,Sarasota,USA,ideal high school,34237,FL,101781, , ,Florida, ,true,x, 
304QEQWK0UNUK9OWLOSW1KGNOJF0O0,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:17 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:17 PDT 2020, , ,37ZHEEHM61PM3FTODRYFGGNKJNF37O,A17LA7KM9S0SCS,Submitted,Thu Jun 18 12:17:03 PDT 2020,Thu Jun 18 12:18:41 PDT 2020,Sun Jun 21 12:18:41 PDT 2020, , , ,98,0% (0/0),0% (0/0),0% (0/0),576,Sarasota,USA,ideal high school,34237,FL,101781, , ,Florida, ,true, ,x
304QEQWK0UNUK9OWLOSW1KGNOJF0O0,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:17 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:17 PDT 2020, , ,3LOTDFNYAC2W96AI5U7T95BYF4RWFQ,A32NFF6EM31R8P,Submitted,Thu Jun 18 12:14:11 PDT 2020,Thu Jun 18 12:15:02 PDT 2020,Sun Jun 21 12:15:02 PDT 2020, , , ,51,0% (0/0),0% (0/0),0% (0/0),576,Sarasota,USA,ideal high school,34237,FL,101781, , ,Florida, ,true,x, 
304QEQWK0UNUK9OWLOSW1KGNOJF0O0,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:17 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:17 PDT 2020, , ,3NLZY2D53USDP1OSFWBLCTYWOZZLQJ,A2HWF3DPE0MDCN,Submitted,Thu Jun 18 12:22:39 PDT 2020,Thu Jun 18 13:03:39 PDT 2020,Sun Jun 21 13:03:39 PDT 2020, , , ,2460,0% (0/0),0% (0/0),0% (0/0),576,Sarasota,USA,ideal high school,34237,FL,101781, , ,Florida, ,true,x, 
306996CF71NA84K5D2RA95ZYMC21B0,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:25 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:25 PDT 2020, , ,3EKVH9QME37DZ6YF04NWXYSOZKK2D7,A1G94QON7A9K0N,Submitted,Thu Jun 18 12:23:23 PDT 2020,Thu Jun 18 12:38:56 PDT 2020,Sun Jun 21 12:38:56 PDT 2020, , , ,933,0% (0/0),0% (0/0),0% (0/0),1229,Riverside,USA,st mary academy - bay view,02915,RI,400215, , ,Rhode Island,01257474,false,x, 
306996CF71NA84K5D2RA95ZYMC21B0,3JEJVC0BAHFY5547IU8IPVOJL2VKNX,Perform a database search,"Enter the provided information into the search portal. If a matching result returns, enter it into the database. If no results are returned then indicate that this is the case.","data collection, website",$0.07,Thu Jun 18 11:21:25 PDT 2020,4,BatchId:4084494;OriginalHitTemplateId:928390855;,3600,259200,Thu Jun 25 11:21:25 PDT 2020, , ,3MMN5BL1W475OI0BHX04ZYKAECD3M2,A17LA7KM9S0SCS,Submitted,Thu Jun 18 12:25:29 PDT 2020,Thu Jun 18 12:29:24 PDT 2020,Sun Jun 21 12:29:24 PDT 2020, , , ,235,0% (0/0),0% (0/0),0% (0/0),1229,Riverside,USA,st mary academy - bay view,02915,RI,400215, , ,Rhode Island, ,true, ,x
